,x,y
0,13,61
1,15,83
2,18,106
3,20,129
4,26,151
5,38,172
6,54,189
7,74,200
8,100,202
9,127,201
10,150,191
11,168,177
12,181,157
13,189,135
14,192,111
15,195,88
16,197,64
17,22,45
18,33,32
19,50,30
20,67,34
21,82,42
22,112,42
23,129,35
24,148,31
25,167,34
26,181,47
27,97,58
28,97,74
29,96,90
30,95,106
31,78,111
32,87,116
33,96,120
34,106,116
35,116,112
36,40,61
37,49,57
38,60,58
39,71,63
40,59,64
41,48,63
42,125,65
43,135,59
44,147,60
45,158,64
46,147,66
47,136,66
48,59,135
49,71,127
50,85,125
51,98,128
52,110,126
53,127,129
54,143,138
55,129,156
56,111,165
57,97,165
58,84,163
59,70,153
60,64,136
61,85,134
62,97,135
63,111,135
64,137,138
65,111,152
66,98,153
67,85,150
