,X,Y
0,60,133
1,61,151
2,62,169
3,63,186
4,68,202
5,76,216
6,91,225
7,107,231
8,127,232
9,147,231
10,167,227
11,184,220
12,196,207
13,203,191
14,206,173
15,209,154
16,210,135
17,70,116
18,78,107
19,90,103
20,103,103
21,116,106
22,138,106
23,151,103
24,164,102
25,176,105
26,186,113
27,125,117
28,124,128
29,123,138
30,122,149
31,111,164
32,117,165
33,124,166
34,132,165
35,139,163
36,83,124
37,91,118
38,100,117
39,108,123
40,100,125
41,91,125
42,146,122
43,155,116
44,165,117
45,172,123
46,164,124
47,155,124
48,100,188
49,109,181
50,118,178
51,125,179
52,132,178
53,143,182
54,154,189
55,143,190
56,132,190
57,125,190
58,118,190
59,109,190
60,103,187
61,118,184
62,125,184
63,132,184
64,150,187
65,132,184
66,125,184
67,118,183
