,X,Y
0,62,126
1,62,143
2,64,159
3,67,175
4,71,191
5,80,205
6,93,218
7,108,228
8,127,232
9,147,230
10,165,223
11,179,212
12,189,198
13,194,181
14,196,164
15,198,147
16,198,129
17,70,115
18,77,105
19,90,102
20,103,104
21,114,109
22,139,110
23,151,104
24,164,102
25,176,104
26,186,111
27,126,119
28,126,131
29,126,143
30,125,156
31,112,162
32,119,165
33,125,167
34,133,165
35,140,163
36,84,123
37,92,117
38,100,117
39,109,124
40,100,125
41,91,125
42,146,124
43,155,117
44,164,117
45,172,123
46,164,125
47,156,125
48,97,182
49,107,178
50,117,176
51,125,178
52,134,177
53,146,179
54,158,183
55,147,193
56,135,198
57,126,199
58,117,197
59,107,191
60,102,182
61,117,182
62,125,183
63,134,182
64,154,184
65,134,188
66,126,189
67,118,188
