,X,Y
0,62,128
1,63,144
2,66,159
3,68,175
4,72,191
5,81,204
6,93,214
7,108,222
8,126,225
9,145,223
10,162,217
11,177,208
12,188,196
13,192,180
14,195,163
15,197,147
16,199,130
17,66,113
18,74,104
19,87,100
20,101,100
21,115,103
22,139,103
23,154,100
24,168,100
25,181,104
26,190,113
27,126,117
28,125,127
29,124,138
30,123,149
31,113,158
32,119,160
33,125,162
34,131,160
35,138,158
36,83,123
37,91,117
38,101,117
39,109,123
40,100,125
41,91,126
42,147,123
43,155,117
44,165,117
45,172,123
46,165,126
47,156,126
48,100,179
49,110,176
50,119,174
51,126,176
52,134,174
53,144,176
54,156,181
55,144,185
56,134,187
57,126,188
58,119,187
59,110,185
60,105,180
61,119,181
62,126,182
63,134,181
64,151,181
65,134,180
66,126,181
67,119,180
