,X,Y
0,52,129
1,54,148
2,55,168
3,57,189
4,63,208
5,74,224
6,89,236
7,109,243
8,130,245
9,150,242
10,170,233
11,188,221
12,200,205
13,208,186
14,212,165
15,213,144
16,215,124
17,67,116
18,74,104
19,87,97
20,102,96
21,115,101
22,137,101
23,151,96
24,168,97
25,182,103
26,191,113
27,127,116
28,127,127
29,126,138
30,126,150
31,114,164
32,120,166
33,127,167
34,133,166
35,139,164
36,83,123
37,91,118
38,101,117
39,110,122
40,101,125
41,92,126
42,146,121
43,155,115
44,165,116
45,173,121
46,165,124
47,155,123
48,103,191
49,111,185
50,119,181
51,127,183
52,134,181
53,142,185
54,152,192
55,142,194
56,134,194
57,126,195
58,119,194
59,111,194
60,106,190
61,119,187
62,127,188
63,134,187
64,147,190
65,134,186
66,126,187
67,119,186
