,X,Y
0,54,121
1,56,140
2,58,159
3,62,178
4,68,196
5,77,213
6,90,227
7,106,240
8,125,245
9,144,242
10,160,231
11,176,217
12,188,201
13,195,182
14,199,162
15,203,142
16,206,122
17,68,107
18,77,99
19,90,95
20,104,96
21,117,101
22,137,101
23,151,95
24,165,94
25,179,98
26,189,107
27,126,118
28,125,130
29,124,141
30,123,153
31,111,163
32,118,165
33,124,167
34,132,165
35,139,163
36,83,121
37,91,116
38,101,117
39,109,123
40,100,126
41,90,125
42,146,123
43,154,116
44,164,116
45,172,121
46,165,125
47,155,126
48,98,188
49,107,180
50,118,177
51,126,179
52,135,177
53,147,180
54,157,187
55,148,201
56,136,208
57,126,210
58,117,209
59,107,201
60,101,187
61,118,183
62,126,183
63,135,182
64,154,187
65,136,201
66,126,202
67,118,200
