,x,y
0,2,66
1,2,89
2,3,112
3,7,136
4,15,158
5,30,176
6,49,191
7,73,200
8,97,202
9,121,199
10,141,187
11,157,172
12,169,153
13,176,132
14,179,109
15,181,87
16,182,64
17,25,42
18,37,31
19,52,28
20,68,30
21,82,37
22,115,35
23,129,29
24,145,27
25,159,30
26,168,41
27,100,57
28,101,72
29,102,87
30,102,103
31,80,112
32,90,115
33,100,118
34,109,115
35,118,113
36,41,60
37,52,57
38,63,58
39,72,65
40,61,65
41,50,64
42,123,64
43,132,58
44,143,57
45,152,61
46,143,65
47,133,65
48,57,139
49,71,131
50,87,128
51,98,131
52,109,128
53,123,131
54,136,137
55,125,156
56,111,165
57,99,166
58,86,165
59,70,158
60,61,140
61,87,136
62,98,137
63,109,136
64,132,139
65,110,152
66,98,154
67,87,153
