,X,Y
0,46,119
1,47,140
2,49,160
3,52,180
4,59,198
5,72,212
6,90,222
7,109,229
8,129,231
9,148,227
10,164,218
11,178,207
12,188,192
13,192,175
14,194,157
15,195,139
16,196,121
17,65,115
18,77,108
19,91,107
20,105,110
21,118,116
22,143,116
23,155,111
24,167,108
25,180,107
26,188,114
27,132,122
28,133,133
29,133,144
30,134,155
31,115,161
32,123,164
33,132,167
34,140,165
35,147,162
36,83,122
37,91,118
38,101,118
39,109,123
40,100,124
41,91,124
42,147,124
43,155,118
44,164,118
45,172,122
46,165,124
47,156,124
48,97,182
49,110,178
50,122,177
51,131,179
52,139,178
53,148,180
54,159,183
55,148,189
56,138,192
57,130,192
58,121,191
59,110,188
60,102,183
61,122,183
62,130,184
63,139,184
64,154,184
65,138,184
66,130,185
67,122,183
