,X,Y
0,51,121
1,52,143
2,56,165
3,60,186
4,66,206
5,77,223
6,92,236
7,111,246
8,131,249
9,151,245
10,167,235
11,182,222
12,193,206
13,198,186
14,201,165
15,202,144
16,202,123
17,66,115
18,75,104
19,90,101
20,104,103
21,118,109
22,137,107
23,151,102
24,166,100
25,181,104
26,188,116
27,128,119
28,128,132
29,129,145
30,130,158
31,115,169
32,122,171
33,130,173
34,136,171
35,143,169
36,83,121
37,90,115
38,101,115
39,110,123
40,100,125
41,90,124
42,146,124
43,155,116
44,166,116
45,173,123
46,166,126
47,156,126
48,101,193
49,111,190
50,122,188
51,129,189
52,136,188
53,146,189
54,156,191
55,147,199
56,137,202
57,130,203
58,122,202
59,112,200
60,105,193
61,122,193
62,129,194
63,136,193
64,152,191
65,137,194
66,129,195
67,122,194
