,X,Y
0,55,132
1,55,150
2,57,168
3,60,186
4,65,203
5,77,217
6,92,227
7,109,234
8,128,237
9,147,234
10,163,227
11,177,216
12,187,202
13,191,184
14,194,166
15,195,148
16,195,130
17,72,107
18,82,100
19,94,99
20,106,101
21,116,106
22,138,106
23,149,101
24,161,99
25,172,101
26,181,107
27,128,118
28,129,130
29,130,141
30,130,154
31,114,166
32,122,169
33,129,171
34,137,169
35,143,166
36,83,121
37,91,117
38,100,117
39,108,122
40,100,122
41,91,123
42,146,123
43,155,118
44,164,118
45,171,122
46,164,123
47,156,123
48,100,192
49,111,186
50,121,184
51,128,185
52,136,184
53,146,187
54,156,192
55,145,197
56,136,200
57,128,201
58,121,200
59,111,197
60,104,192
61,121,191
62,128,192
63,136,191
64,152,192
65,135,191
66,128,191
67,121,191
