,x,y
0,-7,68
1,-8,92
2,-5,117
3,-1,139
4,9,159
5,24,175
6,44,188
7,65,198
8,87,200
9,105,195
10,118,181
11,131,165
12,143,147
13,150,128
14,156,109
15,158,89
16,154,71
17,23,38
18,37,31
19,52,27
20,68,31
21,80,39
22,119,42
23,129,36
24,139,33
25,149,35
26,155,42
27,105,59
28,107,74
29,111,89
30,114,104
31,88,116
32,98,118
33,107,120
34,114,118
35,119,115
36,40,58
37,52,51
38,65,52
39,76,62
40,64,62
41,51,61
42,116,64
43,127,54
44,138,54
45,145,61
46,139,64
47,128,64
48,50,135
49,72,132
50,93,131
51,102,133
52,112,131
53,120,133
54,125,137
55,118,151
56,108,158
57,98,159
58,88,158
59,69,152
60,53,136
61,92,138
62,101,139
63,111,138
64,121,139
65,109,148
66,99,149
67,89,149
